"person_id","team_id","start_date","end_date","shirt_number","name"
"12495","2262","2009-09-30",NULL,"12","Center"
"12508","2262","2009-09-30",NULL,"4","Forward"
"12537","2262","2011-09-23",NULL,"10","Forward"
"1113093","2262","2011-09-23",NULL,"8","Center"
"18861","2262","2012-09-27",NULL,"14","Forward"
"183123","2262","2012-09-27",NULL,"16","Forward"
"2703683","2262","2012-09-27",NULL,"5","Guard"
"17416","2258","2009-10-03",NULL,"15","Center"
"118248","2258","2011-02-12",NULL,"4","Guard"
"12570","2258","2011-09-23",NULL,"6","Guard"
"1113113","2258","2011-09-23",NULL,"5","Guard"
"12398","2258","2012-10-05",NULL,"9","Forward"
"18291","2258","2012-10-05","2013-12-06","17","Guard"
"18294","2258","2012-10-05",NULL,"12","Forward"
"182993","2258","2012-10-05",NULL,"7","Guard"
"1172053","2258","2012-11-04",NULL,"18","Guard"
"12587","2258","2013-02-13",NULL,"11","Forward"
"12416","2265","2011-09-30",NULL,"15","Center"
"118103","2265","2011-09-30",NULL,"5","Guard"
"12376","2265","2012-10-05","2014-01-29","7","Guard"
"12395","2265","2012-10-05",NULL,"9","Guard"
"109529","2265","2012-10-05",NULL,"12","Forward"
"3795273","2265","2012-10-05","2014-01-29","17","Guard"
"12567","2263","2009-09-30",NULL,"7","Forward"
"12595","2263","2009-09-30",NULL,"14","Forward"
"1122903","2263","2011-09-30",NULL,"6","Forward"
"1266323","2263","2011-12-29",NULL,"12","Guard"
"12534","2263","2012-10-05","2013-11-19","11","Guard"
"46034","2263","2012-10-05",NULL,"15","Forward"
"1695453","2263","2013-01-31",NULL,"4","Guard"
"12516","2267","2009-09-30","2014-02-06","4","Guard"
"12476","2267","2011-09-30",NULL,"8","Guard"
"1273733","2267","2012-01-02","2014-02-06","14","Forward"
"12469","2267","2012-10-05",NULL,"9","Forward"
"109517","2267","2012-10-05",NULL,"13","Forward"
"12596","2267","2012-10-05",NULL,"16","Guard"
"3823533","2267","2012-10-05",NULL,"18","Guard"
"3824093","2267","2012-10-05",NULL,"12","Center"
