"game_id","time","team_a","team_b","score_a","score_b"
"2766371","2013-10-07 19:00:00","2268","2267","67","78"
"2766381","2013-10-06 18:00:00","2259","2261","100","89"
"2766391","2013-10-05 19:00:00","2263","2260","70","83"
"2766401","2013-10-06 17:00:00","2262","2264","62","61"
"2766411","2013-10-05 18:00:00","2265","2266","79","64"
"2766431","2013-10-14 19:00:00","2267","2265","82","89"
"2766441","2013-10-13 17:00:00","2258","2268","66","73"
"2766451","2013-10-13 18:00:00","2266","2259","103","99"
"2766461","2013-10-12 19:00:00","2261","2263","99","72"
"2766471","2013-10-12 18:00:00","2260","2262","90","86"
"2766491","2013-10-20 18:00:00","2259","2267","96","90"
"2766501","2013-10-20 18:00:00","2268","2265","64","85"
"2766511","2013-10-20 17:00:00","2263","2266","78","72"
"2766521","2013-10-20 17:00:00","2262","2261","83","86"
"2766541","2013-10-21 19:00:00","2258","2264","73","77"
"2766551","2013-10-26 19:00:00","2267","2263","106","57"
"2766561","2013-10-28 19:00:00","2264","2268","72","81"
"2766571","2013-10-26 20:30:00","2265","2259","91","78"
"2766581","2013-10-26 19:00:00","2266","2262","69","80"
"2766591","2013-10-26 18:00:00","2260","2258","82","58"
"2766611","2013-10-31 19:00:00","2262","2267","66","71"
"2766621","2013-11-01 19:00:00","2268","2259","92","76"
"2766631","2013-11-01 16:30:00","2263","2265","68","95"
"2766641","2013-11-01 17:00:00","2264","2260","75","60"
"2766651","2013-11-01 17:00:00","2258","2261","70","81"
"2766681","2013-11-03 17:00:00","2260","2268","59","69"
"2766691","2013-11-03 19:00:00","2259","2263","104","79"
"2766701","2013-10-29 19:30:00","2265","2262","89","69"
"2766711","2013-11-04 19:00:00","2261","2264","70","77"
"2766721","2013-12-15 19:00:00","2266","2258","69","80"
"2766731","2013-11-10 17:00:00","2258","2267","58","81"
"2766741","2013-11-09 19:00:00","2268","2263","93","74"
"2766751","2013-11-10 17:00:00","2262","2259","97","78"
"2766771","2013-11-11 19:00:00","2260","2261","83","72"
"2766781","2013-11-10 17:00:00","2264","2266","78","58"
"2766791","2013-11-16 19:00:00","2267","2264","63","85"
"2766801","2013-11-17 17:00:00","2261","2268","87","70"
"2766821","2013-11-18 19:00:00","2263","2262","81","92"
"2766831","2013-10-07 19:30:00","2265","2258","87","84"
"2766841","2013-11-17 18:00:00","2266","2260","67","82"
"2766851","2013-11-24 17:00:00","2260","2267","69","64"
"2766861","2013-11-24 18:00:00","2268","2262","68","79"
"2766871","2013-11-24 17:00:00","2258","2259","76","73"
"2766891","2013-11-25 19:00:00","2265","2264","76","48"
"2766901","2013-11-24 17:00:00","2261","2266","74","68"
"2766911","2013-12-02 19:00:00","2267","2261","91","81"
"2766921","2013-12-01 18:00:00","2266","2268","81","97"
"2766931","2013-12-01 17:00:00","2259","2264","79","76"
"2766941","2013-11-30 19:00:00","2263","2258","80","101"
"2766961","2013-11-30 18:00:00","2265","2260","76","69"
"2766971","2013-12-06 20:00:00","2266","2267","73","86"
"2766991","2013-12-05 19:00:00","2260","2259","99","94"
"2767001","2013-12-06 19:30:00","2264","2263","102","69"
"2767011","2013-12-06 19:30:00","2258","2262","70","91"
"2767021","2013-12-06 19:00:00","2261","2265","87","93"
"2767031","2013-12-08 17:00:00","2267","2266","94","66"
"2767051","2013-12-09 19:00:00","2259","2260","84","95"
"2767061","2013-12-08 17:00:00","2263","2264","72","90"
"2767071","2013-12-08 17:00:00","2262","2258","78","74"
"2767081","2014-01-29 19:30:00","2265","2261","99","87"
"2767091","2013-12-16 19:00:00","2267","2268","79","67"
"2767101","2013-12-15 17:00:00","2261","2259","97","82"
"2767111","2013-12-15 17:00:00","2260","2263","112","73"
"2767121","2013-12-15 17:00:00","2264","2262","61","77"
"2767131","2014-01-03 19:00:00","2266","2265","73","82"
"2767151","2013-12-22 19:00:00","2265","2267","65","69"
"2767161","2013-12-21 19:00:00","2268","2258","79","69"
"2767171","2013-12-21 19:00:00","2259","2266","94","74"
"2767181","2013-12-21 19:00:00","2263","2261","79","96"
"2767191","2013-12-22 17:00:00","2262","2260","75","64"
"2767211","2013-12-26 18:00:00","2267","2259","92","78"
"2767221","2013-12-26 19:30:00","2265","2268","80","89"
"2767231","2013-12-26 18:30:00","2266","2263","115","65"
"2767241","2013-12-26 19:00:00","2261","2262","100","87"
"2767261","2013-12-26 17:00:00","2264","2258","90","96"
"2767271","2013-12-29 17:00:00","2263","2267","83","92"
"2767281","2013-12-29 19:00:00","2268","2264","79","68"
"2767291","2013-12-29 17:00:00","2259","2265","74","89"
"2767301","2013-12-29 17:00:00","2262","2266","94","77"
"2767311","2013-12-29 17:00:00","2258","2260","78","89"
"2767331","2014-01-05 19:00:00","2267","2262","74","62"
"2767341","2014-01-07 19:00:00","2259","2268","75","73"
"2767351","2014-01-06 19:30:00","2265","2263","100","86"
"2767361","2014-01-05 19:00:00","2260","2264","90","65"
"2767371","2014-01-05 17:00:00","2261","2258","80","69"
"2767401","2014-01-10 19:30:00","2268","2260","83","85"
"2767411","2014-01-10 19:00:00","2263","2259","74","95"
"2767421","2014-01-10 19:00:00","2262","2265","91","61"
"2767431","2014-01-10 19:30:00","2264","2261","96","74"
"2767441","2014-01-10 19:30:00","2258","2266","74","83"
"2767451","2014-01-12 17:00:00","2267","2258","93","72"
"2767461","2014-01-12 17:00:00","2263","2268","68","88"
"2767471","2014-01-12 18:00:00","2259","2262","75","100"
"2767491","2014-01-12 19:00:00","2261","2260","70","79"
"2767501","2014-01-12 18:00:00","2266","2264","79","89"
"2767511","2014-01-19 17:00:00","2264","2267","60","90"
"2767521","2014-01-19 19:00:00","2268","2261","75","66"
"2767541","2014-01-19 17:00:00","2262","2263","114","71"
"2767551","2014-01-19 17:00:00","2258","2265","78","81"
"2767561","2014-01-18 18:00:00","2260","2266","81","66"
"2767571","2014-02-02 17:00:00","2267","2260","86","87"
"2767581","2014-02-02 17:00:00","2262","2268","88","82"
"2767591","2014-02-03 19:00:00","2259","2258","68","84"
"2767611","2014-02-02 19:00:00","2264","2265","86","79"
"2767621","2014-02-02 18:00:00","2266","2261","67","88"
"2767631","2014-02-09 19:00:00","2261","2267","93","92"
"2767641","2014-02-08 19:00:00","2268","2266","93","74"
"2767651","2014-02-09 19:00:00","2264","2259","88","77"
"2767661","2014-02-09 17:00:00","2258","2263","91","89"
"2767681","2014-02-08 18:00:00","2260","2265","79","76"
"2877923","2014-02-16 17:00:00","2263","2259","87","94"
"2877927","2014-02-16 16:00:00","2266","2258","55","102"
"2877929","2014-02-22 19:00:00","2261","2263","96","74"
"2877931","2014-02-22 19:00:00","2259","2266","84","69"
"2877935","2014-03-03 19:00:00","2258","2259","70","81"
"2877937","2014-03-02 18:00:00","2266","2261","81","93"
"2877941","2014-03-08 19:00:00","2261","2258","100","80"
"2877943","2014-03-09 17:00:00","2263","2266","98","103"
"2877947","2014-03-14 19:30:00","2259","2261","87","78"
"2877949","2014-03-14 19:30:00","2258","2263","81","88"
"2877953","2014-03-16 17:00:00","2261","2259","73","62"
"2877955","2014-03-16 17:00:00","2263","2258","74","99"
"2877959","2014-03-23 17:00:00","2258","2266","94","79"
"2877961","2014-03-22 19:00:00","2259","2263","110","82"
"2877965","2014-03-28 19:00:00","2263","2261","65","92"
"2877967","2014-03-28 19:00:00","2266","2259","89","85"
"2877971","2014-03-30 17:00:00","2259","2258","112","83"
"2877973","2014-03-30 17:00:00","2261","2266","88","63"
"2877977","2014-04-06 17:00:00","2258","2261","86","89"
"2877979","2014-04-04 19:00:00","2266","2263","115","67"
"2877983","2014-02-16 18:00:00","2268","2265","53","77"
"2877985","2014-02-16 17:00:00","2264","2260","81","71"
"2877987","2014-02-17 19:00:00","2262","2267","88","70"
"2877989","2014-02-24 19:00:00","2260","2268","91","78"
"2877991","2014-02-24 19:30:00","2265","2262","61","86"
"2877993","2014-02-23 17:00:00","2264","2267","72","78"
"2877995","2014-03-01 19:00:00","2267","2265","95","52"
"2877997","2014-02-28 19:00:00","2262","2260","106","111"
"2877999","2014-02-28 19:30:00","2268","2264","68","80"
"2878001","2014-03-07 19:00:00","2260","2267","74","81"
"2878003","2014-03-07 19:30:00","2268","2262","67","76"
"2878005","2014-03-06 19:00:00","2264","2265","89","87"
"2878007","2014-03-11 19:30:00","2265","2260","89","94"
"2878009","2014-03-10 19:00:00","2267","2268","83","74"
"2878011","2014-03-09 17:00:00","2262","2264","87","76"
"2878013","2014-03-17 19:00:00","2260","2265","53","73"
"2878015","2014-03-15 19:00:00","2268","2267","66","79"
"2878017","2014-03-16 17:00:00","2264","2262","72","90"
"2878019","2014-03-24 19:00:00","2267","2262","89","70"
"2878021","2014-03-22 18:00:00","2265","2268","82","64"
"2878023","2014-03-22 18:00:00","2260","2264","77","70"
"2878025","2014-03-28 19:30:00","2268","2260","87","77"
"2878027","2014-03-27 19:00:00","2262","2265","64","82"
"2878029","2014-03-27 19:00:00","2267","2264","92","77"
"2878031","2014-03-30 18:00:00","2265","2267","75","65"
"2878033","2014-03-31 19:00:00","2260","2262","86","79"
"2878035","2014-03-30 17:00:00","2264","2268","83","87"
"2878037","2014-04-06 19:00:00","2267","2260","78","76"
"2878039","2014-04-06 17:00:00","2262","2268","75","84"
"2878041","2014-04-06 17:00:00","2265","2264","88","97"
"2891069","2014-04-13 17:00:00","2267","2259","81","70"
"2891071","2014-04-13 18:00:00","2260","2261","67","84"
"2891073","2014-04-13 20:00:00","2265","2264","90","96"
"2891075","2014-04-13 18:00:00","2262","2268","82","66"
"2891077","2014-04-17 19:00:00","2267","2259","87","64"
"2891079","2014-04-17 19:30:00","2260","2261","87","62"
"2891081","2014-04-17 20:00:00","2265","2264","78","85"
"2891083","2014-04-17 19:00:00","2262","2268","70","84"
"2891085","2014-04-20 18:00:00","2259","2267","63","71"
"2891087","2014-04-20 18:00:00","2261","2260","63","68"
"2891089","2014-04-20 20:00:00","2264","2265","57","71"
"2891091","2014-04-20 18:00:00","2268","2262","79","69"
"2891095","2014-04-24 19:30:00","2261","2260","101","102"
"2891097","2014-04-24 19:30:00","2264","2265","72","80"
"2891099","2014-04-24 19:30:00","2268","2262","44","65"
"2891105","2014-04-27 18:00:00","2265","2264","69","65"
"2891107","2014-04-27 20:00:00","2262","2268","61","71"
"2891231","2014-04-11 19:00:00","2263","2266","69","71"
"2891233","2014-04-16 19:00:00","2266","2263","83","78"
"2892179","2014-04-19 18:00:00","2376","2263","78","80"
"2892181","2014-04-21 18:00:00","2266","2376","85","76"
"2892183","2014-04-26 18:00:00","2376","2266","72","71"
"2892185","2014-05-02 19:00:00","2263","2376","73","79"
"2894873","2014-05-01 19:30:00","2267","2268","85","67"
"2894875","2014-05-01 19:00:00","2260","2265","62","60"
"2894877","2014-05-03 19:30:00","2267","2268","97","76"
"2894879","2014-05-03 19:30:00","2260","2265","74","88"
"2894881","2014-05-07 19:30:00","2268","2267","77","78"
"2894883","2014-05-07 19:30:00","2265","2260","79","77"
"2894887","2014-05-10 19:30:00","2265","2260","58","69"
"2894891","2014-05-14 19:30:00","2260","2265","78","65"
"2896433","2014-05-17 19:30:00","2267","2260","93","84"
"2896435","2014-05-21 19:30:00","2267","2260","0","0"
"2896469","2014-05-25 19:30:00","2260","2267","0","0"
"2896471","2014-05-28 19:30:00","2260","2267","0","0"
"2896473","2014-05-31 19:30:00","2267","2260","0","0"
