"protocol_id","game_id","attendance","t_s_2m_a","t_s_2a_a","t_s_3m_a","t_s_3a_a","t_s_fgm_a","t_s_fga_a","t_s_1m_a","t_s_1a_a","t_s_ro_a","t_s_rd_a","t_s_rt_a","t_s_as_a","t_s_pf_cm_a","t_s_pf_rv_a","t_s_to_a","t_s_st_a","t_s_bl_fv_a","t_s_bl_ag_a","t_s_eq_a","t_s_pts_a","t_s_2m_b","t_s_2a_b","t_s_3m_b","t_s_3a_b","t_s_fgm_b","t_s_fga_b","t_s_1m_b","t_s_1a_b","t_s_ro_b","t_s_rd_b","t_s_rt_b","t_s_as_b","t_s_pf_cm_b","t_s_pf_rv_b","t_s_to_b","t_s_st_b","t_s_bl_fv_b","t_s_bl_ag_b","t_s_eq_b","t_s_pts_b","s_ro_a","s_rd_a","s_rt_a","s_as_a","s_pf_cm_a","s_pf_rv_a","s_to_a","s_st_a","s_bl_fv_a","s_bl_ag_a","s_eq_a","s_ro_b","s_rd_b","s_rt_b","s_as_b","s_pf_cm_b","s_pf_rv_b","s_to_b","s_st_b","s_bl_fv_b","s_bl_ag_b","s_eq_b"
"4465547","2766371","1750","13","44","9","25","22","69","14","23","16","28","44","8","17","0","11","4","0","6","56","67","29","46","3","19","32","65","11","15","5","32","37","13","22","0","11","8","3","0","91","78","2","2","4","0","0",NULL,"0","0","0",NULL,"4","1","3","4","0","0",NULL,"1","1","0",NULL,"4"
"4465449","2766381","1000","32","55","7","17","39","72","15","22","6","25","31","19","22","0","9","6","0","0","107","100","23","34","10","27","33","61","13","18","3","20","23","4","21","0","11","1","0","0","73","89","0","0","0","0","0",NULL,"0","0","0",NULL,"0","0","0","0","0","0",NULL,"0","0","0",NULL,"0"
"4464829","2766391","350","23","39","6","21","29","60","6","9","4","25","29","17","25","0","18","4","0","2","68","70","26","49","4","12","30","61","19","25","4","26","30","11","15","0","12","9","4","0","88","83","0","0","0","0","0",NULL,"0","0","0",NULL,"0","0","0","0","0","0",NULL,"0","0","0",NULL,"0"
"4465237","2766401","1550","17","36","5","15","22","51","13","20","7","26","33","16","23","0","17","10","3","0","71","62","7","22","10","23","17","45","17","22","6","24","30","16","21","0","18","12","1","0","69","61","0","2","2","3","0","0","0","2","0","0","7","1","0","1","7","0","0","0","4","0","0","12"
"4464641","2766411","500","23","37","6","16","29","53","15","18","9","18","27","15","25","0","17","11","2","1","90","79","16","24","4","23","20","47","20","24","4","11","15","9","20","0","14","7","1","2","51","64","0","1","1","0","0","0","2","0","0","0","-1","1","1","2","0","0","0","1","0","0","0","1"
"4468225","2766431","700","20","39","5","18","25","57","27","30","9","22","31","14","24","0","13","4","0","0","83","82","20","40","10","25","30","65","19","25","11","22","33","10","24","0","8","9","0","0","92","89","0","4","4","0","0","0","1","0","0","0","3","0","2","2","0","1","0","0","0","0","0","2"
"4467731","2766441","800","17","42","9","18","26","60","5","8","9","23","32","13","20","0","10","3","6","0","73","66","19","40","7","20","26","60","14","19","12","22","34","6","12","0","8","4","1","0","71","73","2","2","4","0","0","0","1","0","0","0","3","0","1","1","0","0","0","0","0","0","0","1"
"4467933","2766451","250","21","36","12","24","33","60","25","38","4","18","22","22","27","0","12","11","0","4","106","103","29","54","7","13","36","67","20","29","12","22","34","18","25","0","16","5","2","0","102","99","0","0","0","0","0",NULL,"1","0","0",NULL,"-1","0","0","0","0","0",NULL,"0","0","0",NULL,"0"
"4466977","2766461","750","23","41","11","31","34","72","20","22","16","28","44","12","21","0","12","8","1","1","112","99","19","40","6","27","25","67","16","19","13","22","35","9","22","0","14","5","1","1","63","72","2","1","3","0","0","0","1","0","0","0","2","4","2","6","0","0","0","1","0","0","0","5"
"4466925","2766471","500","29","52","7","22","36","74","11","15","15","14","29","22","22","0","13","14","1","2","101","90","25","34","7","18","32","52","15","18","6","20","26","13","21","0","26","7","2","1","85","86","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1"
"4470885","2766491","400","33","55","4","15","37","70","18","29","18","21","39","13","18","0","13","8","0","1","99","96","28","41","9","22","37","63","7","11","5","20","25","24","26","0","17","5","1","0","98","90","1","3","4","0","1","0","1","0","0","0","3","1","2","3","0","1","0","0","0","0","0","3"
"4470889","2766501","850","14","29","6","18","20","47","18","20","7","19","26","15","25","0","13","4","3","2","70","64","26","42","6","17","32","59","15","23","13","20","33","17","20","0","9","5","2","3","98","85","2","1","3","0","0","0","0","0","0","0","3","3","1","4","0","0","0","1","0","0","0","3"
"4470801","2766511","250","14","34","12","28","26","62","14","18","8","34","42","14","19","0","13","2","6","2","89","78","16","47","11","27","27","74","7","10","7","28","35","11","20","0","12","3","1","10","60","72","0","0","0","0","0",NULL,"0","0","0",NULL,"0","0","0","0","0","0",NULL,"0","0","0",NULL,"0"
"4470803","2766521","1200","22","37","10","31","32","68","9","14","11","25","36","13","27","0","10","2","3","0","86","83","18","35","8","26","26","61","26","34","13","25","38","13","18","0","6","5","0","1","93","86","0","1","1","0","0","0","0","0","0","0","1","2","4","6","0","0","0","1","0","0","0","5"
"4471301","2766541","900","22","55","8","18","30","73","5","9","17","24","41","19","24","0","11","3","3","0","81","73","17","39","6","13","23","52","25","31","6","26","32","9","17","0","9","7","1","0","82","77","3","0","3","0","0","0","0","0","0","0","3","0","5","5","0","0","0","0","0","0","0","5"
"4473389","2766551","600","38","62","2","12","40","74","24","31","21","33","54","23","13","0","10","13","5","0","150","106","15","32","7","22","22","54","6","8","4","17","21","12","25","0","14","8","2","0","52","57","2","3","5","0","0",NULL,"0","0","0",NULL,"5","3","3","6","0","0",NULL,"0","2","0",NULL,"8"
"4474751","2766561","600","23","44","7","23","30","67","5","8","12","20","32","18","17","0","6","1","3","1","80","72","26","52","6","17","32","69","11","13","19","24","43","15","16","0","6","1","1","3","96","81","1","1","2","0","0","0","0","0","0","0","2","0","2","2","0","0","0","0","0","0","0","2"
"4474445","2766571","200","24","49","10","26","34","75","13","17","20","24","44","17","28","0","8","3","2","0","104","91","18","47","5","11","23","58","27","39","13","18","31","9","21","0","12","3","1","0","63","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4474641","2766581","100","18","34","8","18","26","52","9","13","3","20","23","18","20","0","18","4","1","0","67","69","26","43","4","18","30","61","16","25","12","23","35","19","18","0","10","9","1","0","94","80","0","0","0","0","0",NULL,"0","0","0",NULL,"0","2","0","2","0","0",NULL,"0","1","0",NULL,"3"
"4473331","2766591","500","29","54","5","14","34","68","9","17","12","29","41","18","8","0","18","15","2","1","98","82","22","44","3","19","25","63","5","11","11","26","37","13","17","0","23","8","1","2","50","58","1","1","2","0","0","0","0","0","0","0","2","0","2","2","0","0","0","2","0","0","0","0"
"4475331","2766611","800","17","28","7","25","24","53","11","16","3","21","24","10","21","0","10","3","2","0","61","66","20","41","6","20","26","61","13","15","10","24","34","10","19","0","6","5","0","2","77","71","0","0","0","0","0","0","1","0","0","0","-1","0","1","1","0","0","0","0","0","0","0","1"
